time,lat,lng,x_g,y_g,z_g
197868,33.099441,-96.092285,0.10,-0.19,0.98
198384,33.099441,-96.092285,0.06,-0.19,0.97
198898,33.099441,-96.092285,0.07,-0.19,0.96
199504,33.099441,-96.092285,0.05,-0.19,1.00
200054,33.099441,-96.092285,0.05,-0.19,0.97
200711,33.099441,-96.092285,0.09,-0.18,0.91
201261,33.099441,-96.092285,0.08,-0.18,0.93
201870,33.099441,-96.092285,0.12,-0.18,0.95
202386,33.099441,-96.092285,0.06,-0.22,0.92
202900,33.099441,-96.092285,0.10,-0.20,1.08
203541,33.099441,-96.092285,0.25,-0.21,0.84
204092,33.099441,-96.092285,0.19,-0.22,0.86
204749,33.099441,-96.092285,0.03,-0.37,0.81
205299,33.099441,-96.092285,-0.01,-0.24,0.87
205885,33.099441,-96.092285,0.04,-0.17,1.04
206401,33.099441,-96.092285,0.19,-0.23,0.95
206930,33.099441,-96.092285,0.10,-0.22,0.92
207587,33.099475,-96.092292,0.04,-0.18,0.99
208137,33.099475,-96.092292,0.04,-0.18,0.98
208793,33.099475,-96.092292,0.05,-0.17,0.98
209343,33.099475,-96.092292,0.04,-0.17,0.98
209884,33.099475,-96.092292,0.05,-0.17,0.98
210402,33.099475,-96.092292,0.04,-0.17,0.97
210933,33.099475,-96.092292,0.05,-0.17,0.99
211590,33.099475,-96.092292,0.05,-0.17,0.98
212140,33.099475,-96.092292,0.04,-0.18,0.97
212795,33.099475,-96.092292,0.04,-0.18,0.98
213345,33.099475,-96.092292,0.04,-0.17,0.98
213882,33.099475,-96.092292,0.04,-0.17,0.98
214398,33.099475,-96.092292,0.05,-0.17,0.98
214930,33.099475,-96.092292,0.03,-0.16,0.99
215586,33.099468,-96.092300,0.05,-0.17,0.98
216136,33.099468,-96.092300,0.04,-0.18,0.97
216792,33.099468,-96.092300,0.05,-0.18,0.98
217344,33.099468,-96.092300,0.05,-0.17,0.97
217884,33.099468,-96.092300,0.04,-0.18,0.97
218399,33.099468,-96.092300,0.04,-0.17,0.98
218930,33.099468,-96.092300,0.05,-0.18,0.97
219586,33.099460,-96.092300,0.04,-0.17,0.98
220136,33.099460,-96.092300,0.05,-0.17,0.97
220791,33.099460,-96.092300,0.05,-0.17,0.98
221341,33.099460,-96.092300,0.04,-0.17,0.97
221881,33.099460,-96.092300,0.02,-0.20,1.04
222396,33.099460,-96.092300,0.05,-0.18,0.95
222925,33.099460,-96.092300,0.05,-0.18,0.95
223593,33.099460,-96.092300,0.05,-0.18,0.98
224143,33.099460,-96.092300,0.03,-0.20,1.07
224797,33.099460,-96.092300,0.05,-0.17,0.98
225347,33.099460,-96.092300,0.05,-0.17,0.98
225879,33.099460,-96.092300,0.04,-0.18,0.97
226394,33.099460,-96.092300,0.04,-0.17,0.98
226924,33.099460,-96.092300,0.04,-0.17,0.98
227579,33.099456,-96.092292,0.05,-0.17,0.98
228129,33.099456,-96.092292,0.04,-0.17,0.97
228785,33.099456,-96.092292,0.04,-0.18,0.97
229336,33.099456,-96.092292,0.05,-0.17,0.97
229878,33.099456,-96.092292,0.05,-0.17,0.97
230395,33.099456,-96.092292,0.05,-0.17,0.98
230927,33.099456,-96.092292,0.05,-0.17,0.98
231583,33.099460,-96.092300,0.05,-0.17,0.98
232133,33.099460,-96.092300,0.04,-0.17,0.99
232788,33.099460,-96.092300,0.05,-0.17,0.97
233338,33.099460,-96.092300,0.05,-0.18,0.97
233877,33.099460,-96.092300,0.05,-0.16,0.98
234393,33.099460,-96.092300,0.05,-0.18,0.97
234924,33.099460,-96.092300,0.05,-0.17,0.97
235579,33.099464,-96.092300,0.05,-0.17,0.98
236129,33.099464,-96.092300,0.05,-0.17,0.98
236795,33.099464,-96.092300,0.04,-0.17,0.97
237345,33.099464,-96.092300,0.05,-0.17,0.98
237877,33.099464,-96.092300,0.05,-0.17,0.97
238399,33.099464,-96.092300,0.05,-0.18,0.98
238928,33.099464,-96.092300,0.05,-0.17,0.98
239584,33.099475,-96.092300,0.05,-0.18,0.97
240134,33.099475,-96.092300,0.05,-0.17,0.97
240789,33.099475,-96.092300,0.04,-0.17,0.94
241339,33.099475,-96.092300,0.05,-0.18,0.98
241897,33.099475,-96.092300,0.04,-0.18,0.98
242503,33.099475,-96.092300,0.05,-0.19,0.95
243055,33.099475,-96.092300,0.06,-0.17,0.99
243710,33.099475,-96.092300,0.05,-0.16,0.95
244260,33.099475,-96.092300,0.07,-0.17,0.94
244880,33.099475,-96.092300,0.05,-0.17,0.98
245395,33.099475,-96.092300,0.06,-0.18,0.97
245925,33.099475,-96.092300,0.04,-0.18,0.97
246581,33.099487,-96.092300,0.05,-0.17,0.97
247131,33.099487,-96.092300,0.05,-0.18,0.97
247787,33.099487,-96.092300,0.07,-0.16,1.02
248337,33.099487,-96.092300,0.04,-0.17,0.98
248886,33.099487,-96.092300,0.04,-0.18,0.97
249401,33.099487,-96.092300,0.04,-0.17,0.97
249933,33.099487,-96.092300,0.05,-0.19,0.97
250590,33.099491,-96.092300,0.04,-0.16,0.97
251140,33.099491,-96.092300,0.05,-0.18,0.97
251795,33.099491,-96.092300,0.05,-0.17,0.96
252345,33.099491,-96.092300,0.04,-0.18,1.00
252897,33.099491,-96.092300,0.04,-0.17,0.96
253528,33.099491,-96.092300,0.05,-0.18,0.98
254076,33.099491,-96.092300,0.04,-0.18,0.96
254733,33.099491,-96.092300,0.05,-0.17,0.98
255282,33.099491,-96.092300,0.05,-0.17,0.96
255897,33.099491,-96.092300,0.04,-0.17,0.98
256547,33.099491,-96.092300,0.05,-0.17,0.96
257096,33.099491,-96.092300,0.04,-0.17,0.98
257753,33.099491,-96.092300,0.04,-0.19,0.97
258301,33.099491,-96.092300,0.04,-0.17,0.96
258897,33.099491,-96.092300,0.03,-0.18,0.98
259478,33.099491,-96.092300,0.03,-0.20,0.90
260028,33.099491,-96.092300,0.05,-0.17,0.97
260684,33.099491,-96.092300,0.05,-0.17,0.98
261233,33.099491,-96.092300,0.05,-0.17,0.98
261890,33.099491,-96.092300,0.04,-0.17,0.97
262469,33.099491,-96.092300,0.05,-0.18,0.97
263018,33.099491,-96.092300,0.03,-0.18,0.98
263663,33.099491,-96.092300,0.05,-0.17,0.96
264213,33.099491,-96.092300,0.04,-0.17,0.97
264869,33.099491,-96.092300,0.05,-0.18,0.97
265384,33.099491,-96.092300,0.04,-0.18,0.98
265914,33.099491,-96.092300,0.05,-0.18,0.97
266570,33.099498,-96.092300,0.05,-0.18,0.97
267120,33.099498,-96.092300,0.04,-0.18,0.96
267776,33.099498,-96.092300,0.04,-0.17,0.98
268325,33.099498,-96.092300,0.04,-0.18,0.97
268894,33.099498,-96.092300,0.03,-0.17,0.97
269475,33.099498,-96.092300,0.05,-0.18,0.97
270026,33.099498,-96.092300,0.05,-0.18,0.97
270682,33.099498,-96.092300,0.04,-0.16,0.97
271232,33.099498,-96.092300,0.05,-0.18,0.97
271888,33.099498,-96.092300,0.04,-0.16,0.98
272468,33.099498,-96.092300,0.04,-0.17,0.99
273018,33.099498,-96.092300,0.05,-0.17,0.97
273674,33.099498,-96.092300,0.04,-0.18,0.97
274225,33.099498,-96.092300,0.05,-0.18,0.97
274880,33.099498,-96.092300,0.04,-0.17,0.98
275395,33.099498,-96.092300,0.04,-0.17,0.97
275926,33.099498,-96.092300,0.05,-0.17,0.96
276595,33.099498,-96.092300,0.05,-0.17,0.98
277144,33.099498,-96.092300,0.04,-0.18,0.97
277800,33.099498,-96.092300,0.04,-0.18,0.96
278350,33.099498,-96.092300,0.04,-0.17,0.96
278930,33.099498,-96.092300,0.05,-0.17,0.96
279584,33.099498,-96.092300,0.04,-0.17,0.98
280134,33.099498,-96.092300,0.05,-0.18,0.97
280790,33.099498,-96.092300,0.04,-0.17,0.97
281339,33.099498,-96.092300,0.04,-0.16,0.97
281942,33.099498,-96.092300,0.04,-0.18,0.96
282597,33.099498,-96.092300,0.04,-0.17,0.96
283147,33.099498,-96.092300,0.05,-0.18,0.98
283813,33.099498,-96.092300,0.04,-0.18,0.97
284364,33.099498,-96.092300,0.05,-0.17,0.97
284940,33.099498,-96.092300,0.05,-0.18,0.98
285595,33.099498,-96.092300,0.05,-0.17,0.96
286145,33.099498,-96.092300,0.05,-0.18,0.98
286800,33.099498,-96.092300,0.04,-0.18,0.97
287350,33.099498,-96.092300,0.05,-0.17,0.97
287937,33.099498,-96.092300,0.04,-0.18,0.96
288592,33.099498,-96.092300,0.04,-0.17,0.97
289143,33.099498,-96.092300,0.05,-0.17,0.96
289799,33.099498,-96.092300,0.05,-0.17,0.97
290351,33.099498,-96.092300,0.04,-0.16,0.97
290935,33.099498,-96.092300,0.05,-0.18,0.97
291592,33.099498,-96.092300,0.04,-0.17,0.97
292141,33.099498,-96.092300,0.05,-0.17,0.97
292797,33.099498,-96.092300,0.05,-0.17,0.97
